storeNo,storeNoName,longitude,latitude,countryRegion
225,225 EP ÅSSIDEN PLUSS,10.13038,59.75335,Østlandet
226,226 EP VIKERSUND,9.99348,59.96525,Østlandet
227,227 EP VESTBY,10.74308,59.60766,Østlandet
228,228 EP LILLEHAMMER STRANDPARKEN,10.45268,61.11459,Østlandet
229,229 EP BRUMUNDDAL,10.94124,60.88548,Østlandet
645,645 EP MANDAL,7.46635,58.02436,Sørlandet
230,230 EP FLISA,12.00806,60.61307,Østlandet
231,231 EP ÅRNES,11.46198,60.11865,Østlandet
233,233 EP RAGLAMYR PLUSS,5.33471,59.3974,Vestlandet
234,234 EP KROKSTAD - utgått,"","",Østlandet
236,236 EP VOLLEBEKK,10.82697,59.93647,Østlandet
237,237 EP PRINSDAL,10.80876,59.83328,Østlandet
238,238 EP BRYN,10.82484,59.91206,Østlandet
239,239 EP HALDEN,11.3834,59.1216,Østlandet
240,240 EP STRØMMEN - utgått,11.0067,59.94569,Østlandet
242,242 EP MOELV,10.7008,60.92999,Østlandet
434,434 EP MO I RANA,14.13258,66.30412,Nord-Norge
243,243 EP KONGSVINGER,12.00053,60.19289,Østlandet
244,244 EP HØNEFOSS,10.25245,60.1459,Østlandet
245,245 EP RAKKESTAD,11.34239,59.42608,Østlandet
246,246 EP EIDSVOLL,11.26554,60.33131,Østlandet
247,247 EP STANGE,11.19727,60.72157,Østlandet
248,248 EP SLEMMESTAD,10.4893,59.78577,Østlandet
249,249 EP ELVERUM,11.5482,60.87635,Østlandet
250,250 EP SARPSBORG,11.08066,59.28679,Østlandet
252,252 EP KLØFTA,11.13591,60.07258,Østlandet
253,253 EP SØRUMSAND,11.24252,59.98665,Østlandet
594,594 EP FALKUM,9.58649,59.21306,Østlandet
254,254 EP LAMBERTSETER,10.80969,59.87489,Østlandet
255,255 EP LINDEBERG,10.88696,59.93563,Østlandet
256,256 EP MAURA - utgått,11.03307,60.25869,Østlandet
257,257 EP ØSTERÅS - utgått,10.60742,59.94371,Østlandet
258,258 EP NORDHEIMSUND - utgått,"","",Vestlandet
334,334 EP NØTTERØY,10.39329,59.26389,Østlandet
396,396 EP ELNESVÅGEN,7.16111,62.85382,Vestlandet
261,261 EP LEVANGER - utgått,"","",Trøndelag
262,262 EP HAUGENSTUA,10.90826,59.95272,Østlandet
263,263 EP TVEDESTRAND - utgått,"","",Sørlandet
415,415 EP GOL,8.95334,60.70505,Østlandet
264,264 EP RÅHOLT,11.17086,60.28593,Østlandet
267,267 EP SOLA,5.6527,58.88427,Vestlandet
627,627 EP LEIRA,9.28952,60.97112,Østlandet
587,587 EP RAUFOSS,10.61266,60.72538,Østlandet
271,271 EP VESTKANTEN,5.23496,60.36311,Vestlandet
272,272 EP ÅS,10.79082,59.66468,Østlandet
273,273 EP TRYSIL,12.26551,61.29977,Østlandet
278,278 EP STORHAMAR - utgått,"","",Østlandet
279,279 EP ISEVEIEN,11.15912,59.26897,Østlandet
383,383 EP LILLESTRØM,11.07249,59.94802,Østlandet
393,393 EP SEM,10.33154,59.28271,Østlandet
801,801 MARIEBERG,"","",""
802,802 ULRICHEHAMN,"","",Vestlandet
803,803 GISLAVED,"","",""
804,804 TRESTAD,"","",""
805,805 KNALLELAND,"","",""
806,806 INGELSTA,"","",Vestlandet
807,807 TORNBY,"","",Vestlandet
808,808 HÂLLA,"","",""
012,012 EP EGERSUND,6.00725,58.44094,Vestlandet
666666,666666 Testbutikk 666666,10.96311,59.21663,Østlandet
446,446 EP SELLEBAKK,10.99514,59.22604,Østlandet
576,576 EP BOGAFJELL,5.75326,58.82104,Vestlandet
643,643 EP ÅNDALSNES,7.67855,62.56119,Vestlandet
274,274 EP VADSØ,29.71737,70.07999,Nord-Norge
286,286 EP ÅSANE PLUSS,5.33926,60.4691,Vestlandet
374,374 EP HUNSTAD,14.54527,67.28111,Nord-Norge
467,467 EP KVINESDAL,6.96346,58.32051,Sørlandet
426,426 EP KOLVEREID,11.59831,64.86468,Trøndelag
301,301 EP VENNESLA,7.96945,58.27173,Sørlandet
040,040 EP ARENDAL - utgått,"","",Sørlandet
292,292 EP HAMAR -utgått,"","",Østlandet
293,293 EP STORHAMAR,11.04435,60.80421,Østlandet
471,471 EP LEVANGER,11.28266,63.73383,Trøndelag
295,295 EP MOSS PLUSS,10.67615,59.41536,Østlandet
296,296 EP SKARNES,11.67615,60.24921,Østlandet
291,291 EP TVEDESTRAND,8.9233,58.6244,Sørlandet
283,283 EP SØRLANDSPARKEN PLUSS,8.12644,58.1794,Sørlandet
414,414 EP RINGEBU,10.1471,61.52992,Østlandet
280,280 EP RENA,11.3698,61.13277,Østlandet
608,608 EP FLEKKEFJORD,6.66359,58.29298,Sørlandet
474,474 EP LUND,8.02572,58.15311,Sørlandet
297,297 EP SVINESUNDPARKEN,11.27364,59.1288,Østlandet
011,011 011 Testbutikk Web,"","",Østlandet
632,632 EP HOLMESTRAND,10.31723,59.47355,Østlandet
427,427 EP SANDE I VESTFOLD,10.21006,59.58413,Østlandet
304,304 EP FARSUND,6.77089,58.09809,Sørlandet
305,305 EP LAKSELV,24.97146,70.05203,Nord-Norge
307,307 EP TILLER PLUSS,10.3735,63.35679,Trøndelag
306,306 EP MÅLØY,5.15445,61.92162,Vestlandet
299,299 EP BJØRKELANGEN,11.5601,59.89093,Østlandet
394,394 EP GJØVIK,10.69246,60.78047,Østlandet
311,311 EP BROKELANDSHEIA,9.07415,58.82414,Sørlandet
316,316 EP KIRKENES,30.06846,69.72569,Nord-Norge
308,308 EP KRISTIANSUND,7.80007,63.10967,Vestlandet
309,309 EP STEINKJER,11.49161,64.01125,Trøndelag
310,310 EP VERDAL,11.48063,63.79444,Trøndelag
315,315 EP NORHEIMSUND,6.13744,60.37217,Vestlandet
387,387 EP SKEDSMO,11.03322,60.00512,Østlandet
317,317 EP BILLINGSTAD,10.50069,59.87702,Østlandet
588,588 EP NARVIK,17.41494,68.43628,Nord-Norge
047,047 EP HUSNES,5.75396,59.85881,Vestlandet
069,069 EP ÅLESUND - utgått,"","",Vestlandet
071,071 EP TROMDSDALEN - utgått,"","",Nord-Norge
085,085 EP Brua - utgått,"","",Østlandet
180,180 EP SLEPENDEN - utgått,"","",Østlandet
232,232 EP Lillestrøm - utgått,"","",Østlandet
235,235 EP Kvadrat - utgått,"","",Vestlandet
590,590 EP DOKKA,10.06889,60.83624,Østlandet
241,241 EP SANDAKERVEIEN - utgått,"","",Østlandet
251,251 EP SOLA - utgått,"","",Vestlandet
320,320 EP LADE,10.46253,63.44017,Trøndelag
319,319 EP ØLENSVÅG - utgått,"","",Vestlandet
312,312 EP ØLENSVÅG,5.75061,59.60504,Vestlandet
574,574 EP ÅLGÅRD,5.86231,58.76628,Vestlandet
417,417 EP VOLDA,6.09105,62.14049,Vestlandet
466,466 EP BRENNÅSEN,7.8559,58.13867,Sørlandet
451,451 LETTKAUP EHF. FISKISLØD,"","",""
452,452 LETTKAUP EHF. SELFOSS,"","",""
453,453 LETTKAUP EHF. DALEVEGUR,"","",""
455,455 LETTKAUP EHF. AKUREYRI,"","",""
454,454 LETTKAUP EHF. HAFNAFJORDUR,"","",""
456,456 LETTKAUP EHF. STEKKJABREKKUR,"","",""
0001,0001 NY1,"","",""
00002,00002 NY2,"","",""
054,054 EP ÅSANE - utgått,"","",Vestlandet
0002,0002 EP BRANDBU - utgått,"","",""
0003,0003 NY3,"","",""
0004,0004 NY4,"","",""
300,300 EP REVETAL,10.26458,59.3694,Østlandet
323,323 EP BRANDBU,10.51537,60.41727,Østlandet
49800,49800 EP BUTIKKDRIFT A/S,10.96402,59.21742,Østlandet
220,220 EP MOLDE - utgått,"","",Vestlandet
386,386 EP MJØNDALEN,10.02697,59.74887,Østlandet
324,324 EP SANDVIKA,10.51848,59.88717,Østlandet
055,055 EP KIRKENES - utgått,"","",Nord-Norge
325,325 EP KYRKSÆTERØRA,9.08651,63.29347,Trøndelag
326,326 EP ØREBEKK,10.90533,59.23222,Østlandet
327,327 EP KRØGENES,8.81403,58.47355,Sørlandet
390,390 EP FLATÅSEN,10.34572,63.37395,Trøndelag
329,329 EP HOMMELVIK,10.80752,63.41524,Trøndelag
330,330 EP SYKKYLVEN,6.57343,62.38001,Vestlandet
332,332 EP ÅLESUND PLUSS,6.35431,62.47067,Vestlandet
333,333 EP STØREN,10.28826,63.04166,Trøndelag
331,331 EP ÅL - utgått,"","",""
056,056 EP OS,5.45643,60.20315,Vestlandet
777777,777777 Logistikk,10.96311,59.21663,""
340,340 EP LOM,8.57833,61.83923,Østlandet
346,346 EP GAUSDAL,10.22247,61.22638,Østlandet
999,999 EP 999 TEST BUTIKK,10.99514,59.22604,Østlandet
353,353 EP GRINI PLUSS,10.59776,59.94561,Østlandet
350,350 EP ROA,10.62679,60.28642,Østlandet
057,057 EP ALTA,23.3243,69.9762,Nord-Norge
347,347 EP VATNE,6.59145,62.54451,Vestlandet
577,577 EP KLEPP,5.62843,58.77801,Vestlandet
349,349 EP RISSA,9.95663,63.58407,Trøndelag
360,360 EP AVERØY,7.63204,63.05172,Vestlandet
058,058 EP KARMØY,5.28929,59.29148,Vestlandet
210,210 EP OTTA,"","",Østlandet
355,355 EP ÅNDALSNES,"","",Vestlandet
025,025 EP JØRPELAND/STRAND,"","",Vestlandet
029,029 EP MANDAL,"","",Sørlandet
606,606 EP KONGSBERG SØLVPARKEN,9.65425,59.669,Østlandet
343,343 EP MOA - utgått,6.34698,62.46675,Vestlandet
489,489 EP ORKANGER,9.8386,63.30598,Trøndelag
192,192 EP FLORØ,5.0474,61.60052,Vestlandet
437,437 EP GRIMSTAD,8.55371,58.34273,Sørlandet
592,592 EP BARDUFOSS,18.59034,69.09414,Nord-Norge
609,609 EP MELHUS,10.28416,63.28613,Trøndelag
573,573 EP ÅSEN,5.72884,58.94323,Vestlandet
344,344 EP STOA,8.71261,58.46502,Sørlandet
614,614 EP KILEN TØNSBERG,10.42929,59.27379,Østlandet
199,199 EP DRØBAK,10.65719,59.67376,Østlandet
200,200 EP SKARNES - utgått,"","",Østlandet
506,506 EP BJUGN,9.80779,63.76612,Trøndelag
465,465 EP SURNADAL,8.71288,62.97002,Vestlandet
484,484 EP NORDFJORDEID,6.00291,61.90967,Vestlandet
488,488 EP KVALA,5.26845,59.43764,Vestlandet
445,445 EP SELJORD,8.63031,59.48082,Østlandet
599,599 EP TYNSET,10.78023,62.27695,Østlandet
850,850 New Store,"","",""
137,137 EP LENA,"","",Østlandet
042,042 EP Holmestrand,"","",Østlandet
269,269 EP Leira,"","",Østlandet
